# X^3 + Y^3 = A^4 + B^4
# primitive nontrivial, X>=Y>0, A>=B>0, gcd(X,Y,A,B)=1
# sum branch, A,B <= 10^7
# n=7629
X,Y,A,B
24,17,11,8
133,45,39,19
1400,993,247,32
4337,4272,632,35
176,161,52,39
9043,8669,1086,60
314358093,24707525,2361137,67
1681,840,270,73
1634,1417,291,78
960,641,170,133
27217,26224,2486,167
3801,41,481,193
42217,23097,3059,195
142801,25176,7356,197
906257,594368,31255,210
44928,31249,3318,215
29977,7202,2286,225
7977,6377,935,227
101257,7849,5677,257
74176,23281,4529,266
39881,11986,2841,288
1257802401,1068502456,7526978,291
20449,20368,2030,371
33641,18226,2577,396
8529,5528,935,398
56133,23645,3713,401
145361,41361,7487,407
6457,887,690,456
14771,2941,1338,456
8359149,1054517,155539,533
138189,17717,7171,557
347637893,293401005,2863883,559
183379,145373,9804,570
22253,6885,1831,571
4893697,3029272,109733,650
161689,89673,8387,675
271665,166408,12531,764
29849,3658,2262,825
1159273,687769,37045,899
23901,5381,1903,913
79217,51072,5009,950
47936,32321,3458,981
1220664,268433,36821,1000
16849,9928,1418,1145
148853821,38869621,1353587,1159
445649,205632,17657,1186
129521,45176,6897,1222
35149,16101,2595,1225
19721,2201,1519,1239
5745569,1578312,117958,1373
563402,462409,22956,1377
163825,121576,8870,1393
558730209,125911888,3644493,1450
25113,10745,1883,1457
345905,12513,14263,1459
25104,17777,2024,1469
61979,35653,4086,1470
785564528,468651585,4923697,1544
37096,4401,2573,1644
1499353,182450,42867,1728
143009,127992,8414,1757
100205,15333,5623,1781
154625,104528,8336,1791
65969,17432,4097,1806
110017,109009,7151,1861
1341041,739176,40963,1912
46850,14521,3090,1959
6720413,630149,132019,1995
244489,12578,10992,2055
69704,39777,4418,2131
54738705,18319408,642268,2187
637241,289545,23065,2233
262884945,89715928,2084761,2238
222593,23489,10245,2243
345385,45386,14253,2250
1835937,1602209,56653,2251
110456554,83838713,1179720,2259
42669,39893,3275,2261
210277,64989,9883,2379
76679,217,4518,2418
247517,198739,12312,2442
2273957,229197,58573,2455
26595416,14902881,385658,2477
49058929,24952312,604588,2621
617633,432209,23715,2689
172402,85529,8688,2691
262049,147872,12062,2787
7197240,5146673,150214,2849
116357,12269,6217,3021
512097,80984,19159,3052
126492096,29582881,1196541,3086
1893480,897793,52353,3124
1418369552,773852049,7588949,3172
109325,70181,6275,3177
1103921,373416,34381,3188
91169,15248,5060,3207
30744895,18558833,433926,3312
1023449,43497,32177,3329
917811233,97853784,5274685,3386
137824,47233,7135,3388
26684429,25149523,432246,3510
133933,111875,7764,3606
70440,69793,4771,3618
388609,372337,18217,3637
1408249,958922,43782,3681
376533,124685,15323,3731
12520753,10871184,238722,3745
103520,72753,5986,3809
701661,573365,27029,3815
996757,216957,31625,3909
77912,77169,5117,3964
88296,77425,5466,4015
90136,12721,4627,4076
789085,382931,27198,4080
118857,1129,6117,4087
216605,18403,9972,4092
440321,386936,19446,4187
70714753,31998040,788411,4234
194128,163105,10297,4508
1716609,344312,47519,4516
18207392,9711857,288753,4610
505920,66833,18964,4619
77904,77393,4670,4633
1040001,375761,32941,4633
261233,15105,11477,4681
24125957,11641949,353529,4759
304958189,103863717,2330167,4837
2530385,462511,63540,4872
4081655,1565881,92064,5070
974945,610176,32770,5101
207712,134769,10178,5103
4825417,2049289,104873,5123
2065577,1183927,56886,5130
9299720,2592753,169309,5236
742412729,148935922,4506684,5301
62989681,1379880,707055,5302
395269,169437,16017,5327
2606152,1513489,67829,5344
4565413,133965,98767,5349
3325665,2773048,87308,5367
452641,137616,17533,5394
2866033,369504,69693,5480
136087,120089,7602,5496
249601,178465,11935,5543
307809,247208,14423,5620
51939193,36697730,659817,5634
280177,171504,12698,5679
5907893,169229,119833,5775
1454519945,443744441,7500319,5775
280101,44701,12027,5813
666569,181042,23421,5886
1094792,474929,34508,6003
1521673,860985,45163,6003
11298352,1279489,194948,6209
157633,77375,7308,6252
40336785,30039968,551842,6263
20357608,10448305,312833,6386
343763913,76634969,2531579,6395
20063209,14850167,326406,6642
183793,10320,8029,6732
2892865,901953,70669,6747
157697,74384,6834,6811
29875009,27423808,466325,6814
290961,147041,12653,6833
324769,81712,13432,6887
254068984,183060193,2178784,6985
2718122,1949449,72408,6993
3730184,1778097,87088,7123
214994,115513,9705,7146
27254165,12801693,386617,7187
302537,174969,13189,7267
180713,162754,9234,7365
3187442,69433,75435,7380
41759501,20241749,533675,7395
4551169,318097,98543,7429
11544880,8479233,215292,7489
10412985,4427353,186733,7497
779496,70081,26193,7568
899217,553552,30744,7595
1008833,532440,32918,7691
229969,60808,9670,7769
1836733728,264052849,8878851,7840
818267753,523289050,5127396,7881
253888,69649,10490,8233
602241,165976,21606,8443
49139025,20809393,597747,8443
215481,94201,8697,8459
276289,193672,12331,8506
603913,399289,22975,8527
1394677,412797,40825,8547
1813355,1166581,52410,8586
509465,99223,18906,8592
22741817,11723849,340063,8607
625883,197509,22302,8610
1475169,261457,42369,8621
7337807,5312017,152790,8646
100224249,26203337,1006127,8863
25517592,16262209,380296,9009
249193,226185,11859,9233
70545704,62487857,878303,9474
829913,117274,27417,9510
1007482,216617,31815,9528
2296113,125440,58976,9933
19188869,8228237,295479,9979
43879552,13446097,542971,10000
6626121,3869305,136665,10009
20939377,10298769,318367,10017
9830097,4579432,179835,10052
268861369,10788217,2099681,10099
286089,281657,13681,10177
