# X^3 + Y^3 = C^5 + D^5
# primitive nontrivial, X>=Y>0, C>=D>0, gcd=1
# sum branch, C,D <= 10^6
# n=216
X,Y,C,D
40290,9301,581,80
410576,315515,2515,96
3071,2467,119,115
710804,50387,3244,123
15102,7755,326,187
29190,14475,488,187
597517,74484,2924,293
77931800,21309886,54549,387
2277318349,544006451,412696,584
8429035,5288757,14950,648
144677,41144,1244,653
2360414235,472839749,421200,674
536351735,361483936,182334,807
150265,39032,1158,1065
526113,111359,2700,1286
3615350,3580355,9859,1416
450095,324657,2600,1458
280433166,112164237,118600,1469
1734125,843868,5660,1477
6505480,3694275,12664,1611
7447989,1515325,13303,1611
6698995,5410100,13563,1662
480926,480397,2909,1690
451093,177898,2404,1765
14561889,3960804,19937,2176
1493893,781435,5180,2412
1544736,552383,5183,2580
3419255,1763177,8536,2682
3699785,1224574,8785,2744
3776545721,1498395516,564312,2825
18348026,958567,22812,2847
78669501,29428418,55197,3176
87197453,24929875,58386,3276
3935485,146076,9046,3285
446771623,147087126,155990,3503
4611918,2429545,10225,3672
1225217,265936,4001,3838
4336329,1343032,9632,4025
12282805,547514,17928,4101
1895458,368978,5637,4107
2918683,209618,7386,4923
3179715,439439,7761,5273
2273301195,921155726,416475,5336
9821131570,2962361757,994600,5373
71871345,31280299,52579,6225
3023015,1396345,7164,6486
9064897,2687941,14931,7403
12975227,5073598,18699,7806
75684663,2931188,53383,8056
1769924071,1612973568,396023,8810
45359375,6593189,39281,9803
11079875,8270889,17863,10141
6278568,2475430,10707,10405
25652158,860443,27851,10428
35434335,16231829,34467,10457
502923955,133211977,166917,11471
21822245,13335643,26262,12210
32275606,8883351,32094,12223
23035279,7387025,26172,12822
13846801,11521949,20707,13043
11247409,8121391,17312,13218
373839535,70511427,139377,14041
1568147207,1259481145,357678,14190
34812435,24759789,35528,15016
51084050,43101539,46291,15228
5723313152,3573205321,747321,16128
33690202,22712265,34497,16156
429215736,179292241,153361,16746
66903465,55997175,54334,17216
339853920,297487673,145664,18633
498449508,94321453,165637,19392
670432205,67674868,197652,20325
4218372222,1890548662,606141,20755
86578534,527887,57735,23702
7770257555,2207408726,863436,24115
406538708,203312171,149859,26464
72174979,27378973,52072,26734
45481095,684460,37911,27514
108435335,50790468,67392,27575
247891549,53050343,108969,28227
219536090,192927698,112149,29083
62107660,8110576,46365,30371
226146061,97993741,104531,30471
38073745,18140400,32241,30484
1604964664,245182965,333878,30941
92689985,949855,59806,31544
67128404,10003082,48595,31797
41414246,28119911,35648,32399
44117246,12326504,34355,33125
48524711,29972217,39806,33348
3586294049,1399183976,546762,34753
1758941196,427792277,353501,34848
101055970,66295295,66183,35142
9496047929,1755208414,970672,35681
143189325,39668627,78236,36762
129255371,120012862,82427,38362
1655882715,1480652924,378675,39104
3928696474,746017305,571665,41734
358047321,22174985,135553,42913
126908411,14534720,71714,43187
139345067,88104661,79598,45466
354063948,12200401,134598,46225
114613268,108687451,76062,47571
825087221,363115492,227494,47645
136108349,47148076,74904,48501
2622594743,906581531,451599,50539
1575918135,116666374,330024,53695
7571677469,6042241606,918768,54477
868945918,41129455,230855,54822
214676164,178590829,108556,55237
96478061,71437207,59055,55869
192098773,117063531,95582,59006
3721222275,3522649726,624835,59886
589153440,133073175,183143,60532
287696499,70113101,118474,60586
1234306814,471304597,288084,62133
761028181,125860712,213298,65981
1186366632,196850779,278515,68592
519934925,162788600,170277,70348
1113222036,540229483,273678,71875
268486080,247823,111714,72143
2789298560,2172324040,502221,73779
259788581,150621652,113310,74349
184125176,72932955,83456,76275
181127950,108400551,81656,81455
1028373764,953178079,287082,81471
685283971,383959688,206406,82347
253248284,138314987,108292,83235
283892811,91453670,114144,84347
1060229253,34985659,259962,85474
