# primitive nontrivial: X^3 +- Y^3 = A^6 + B^6, X>=Y, A>=B, gcd=1
# k=6  M=1000000  branch=diff
# X,Y,A,B,sign
361,118,18,15,-
11920,11847,56,21,-
6997,6627,61,3,-
5040,4031,63,10,-
28561,25402,138,27,-
26947,11395,162,48,-
93909,71699,277,141,-
83580,35831,285,112,-
16354612,16354607,382,311,-
278233,35160,526,261,-
756480,735719,534,475,-
414325,76523,643,113,-
692728,319583,818,241,-
2140048,2090919,933,152,-
1812036,1722311,971,372,-
1439425,1256216,1000,97,-
1904057,1726910,1098,297,-
4220356,4151055,1240,441,-
10085471,10069919,1296,6,-
4902817,4771023,1379,1155,-
2575133,1579805,1536,324,-
6449440,6284087,1636,989,-
6200800,2296055,2246,2147,-
14685553,14334696,2460,359,-
12194548,11232119,2708,1123,-
27932557,27604331,3001,1751,-
83704154,83630039,3072,2991,-
147308905,147294468,3117,1682,-
72231121,72096792,3498,2537,-
36544897,35657684,3758,2945,-
108805761,108687452,4002,2113,-
533330569,533324300,4163,2290,-
30883084,27597447,4180,3819,-
22773612,16253303,4426,765,-
81341793,80167412,5295,3128,-
309925417,309799608,5325,4876,-
30839545,4289988,5358,4213,-
54502009,49761708,5814,1931,-
38411095,17991319,5916,4470,-
92136745,89137788,6477,2098,-
186928274,186204863,6501,1926,-
57001681,12042512,7538,1303,-
89128393,63464012,8003,7580,-
66763113,25190840,8096,1299,-
84557433,65384504,8262,4373,-
96770496,81587567,8312,5673,-
908412849,908048420,8793,8720,-
90660913,3623612,9520,2983,-
96030328,41459183,9538,6281,-
186387793,170306303,10741,1627,-
256772860,234848031,11313,11110,-
160704937,51950876,12604,3181,-
182219772,71229023,12655,10794,-
180488149,96353283,13019,6981,-
410989777,396612012,13842,311,-
6031649593,6031502823,15027,12851,-
667970241,655414256,15519,11668,-
421683777,372338636,16904,5631,-
868886929,854722959,17749,8163,-
355562929,112562929,18750,6480,-
1540313440,1526412975,19346,18903,-
1128747216,1113916223,19553,6300,-
655719113,600272102,20070,8127,-
1261426027,1227429355,22602,17058,-
537338320,46825575,23178,2021,-
7263772441,7262756458,23313,7950,-
1314698344,1131261311,30622,6943,-
1499371825,1363790172,30681,7004,-
7111685896,7105720415,30961,16930,-
1130156185,780700784,31450,2971,-
1862382957,1748305691,32199,10529,-
1126739524,526886519,32962,10819,-
1848013288,1532107503,33687,32836,-
2137059976,1970038815,35215,24324,-
1379506249,532875672,36765,12824,-
10466021395,10454683987,39366,144,-
2245844077,1864888451,41131,599,-
41278740479,41277745151,41472,12,-
1885946752,301801503,43370,17169,-
2073858817,23620908,44385,32924,-
3795124225,3511790842,47406,10269,-
2547382833,1516059020,48519,994,-
8621765405,8558064413,49152,648,-
3365387313,2814454376,50070,20071,-
3191956132,747080463,50920,49479,-
2599780201,43336776,50988,3091,-
3041709244,1864762983,52709,24444,-
3784129756,2297570903,54430,50227,-
3469750813,1489974755,55579,45599,-
3222214464,615566615,56658,22835,-
4406684893,3182176907,61355,12373,-
4449957225,2992946564,62419,35970,-
4141417417,1799116846,63441,15036,-
6012128017,5194699345,63588,47178,-
4417449376,259587567,64393,49602,-
11146238608,10934430687,65288,13935,-
5841588328,4762225919,66952,32897,-
6348866365,5293164915,68967,7381,-
5954815024,4487653943,70036,37469,-
5424658656,1810026791,73189,9288,-
5768655299,3087972611,73872,14802,-
6137567433,3170399480,76386,29699,-
50024922700,49994745239,78056,25075,-
10821053107,10095458995,78732,4608,-
7086120325,1368926163,78997,69243,-
31821377632,31735492599,79875,28192,-
9476155214,3710619359,90621,79158,-
10133080693,7801283523,90689,45897,-
31484764333,31274793003,91677,54629,-
11689531312,6319226807,96428,90269,-
14769481945,12131405662,98526,89721,-
166753966600,166732231263,100367,96162,-
14746048129,12916370881,100842,9072,-
10471145584,946958463,102306,29599,-
11257901992,5390751911,103916,47141,-
16990321363,15317174995,104616,12444,-
11389473804,3756574751,106058,32817,-
26128185412,25353575679,107460,14623,-
12209323116,573465695,110046,59375,-
23440629913,22120551788,112760,24155,-
20147006916,15730000823,127030,66147,-
19544195056,12206670063,133392,48535,-
18532839977,6564020777,135108,16944,-
21264971961,1051373636,140757,110674,-
24015299401,15263163298,142887,110130,-
1980083965336,1980083163735,145344,33395,-
125121480317,124878480317,150000,810,-
107465672220,107067814439,153900,87419,-
961948561564,961940994143,160456,125681,-
96406394953,95690729636,163805,88754,-
76915805652,75302085767,165333,140276,-
30149811553,5158434514,167517,131502,-
36506452908,11704628855,178896,155741,-
119817768505,118741536023,188933,87677,-
38071188913,4491048288,194190,106585,-
58721703628,45457875503,196745,192290,-
43360098769,14006891876,199433,158498,-
282943627929,282660450407,201855,81721,-
48810102191,33258102191,207360,37500,-
49454326840,29964714183,213172,77013,-
107434977045,104627796539,213219,94745,-
57567056436,30560072639,219231,192706,-
60563014783,41634224575,223356,171906,-
56538545956,6396482543,234263,157370,-
56222275684,16439587919,235972,92441,-
125762243721,121400583776,241757,76914,-
85584601729,69503272424,253054,174817,-
923875463666,923762394551,256497,129534,-
93675575529,75138531536,271192,8877,-
82311817225,1627493612,280166,204931,-
105883900161,88533759536,281055,80470,-
83292043977,3666950804,287645,149958,-
768696524485,768364661043,289137,124663,-
89619058201,51051140423,289337,52655,-
163959883921,156167881655,290339,49385,-
87061585360,3730971975,293227,170064,-
103939596049,57770070344,312412,84119,-
5355706508639,5355695171231,314928,18,-
148530410625,130802311052,318241,56076,-
120304704094,83474804455,323688,145215,-
200619732496,186407512983,325235,272982,-
145683346621,122312106131,328733,69151,-
3691026220809,3690993112124,332568,77731,-
129762492727,50426126455,335328,293178,-
372290929873,366356596140,338999,311334,-
329924275132,324669254727,342443,205914,-
130085174584,79176940839,342726,209413,-
153044805985,124576843487,343801,39671,-
1036071240660,1035263518847,361306,268479,-
696602287900,694203160551,367732,316635,-
152413871100,80965140647,378614,200091,-
478873774948,470812616823,379069,368058,-
188841005137,154309291596,380951,123216,-
222536737504,198861990431,382993,82918,-
152958434833,61196694360,386281,173544,-
167752065289,66986077128,404611,178644,-
397253556777,384575790140,413133,307198,-
203113146797,25966146797,450000,196830,-
206794941564,63357069551,452538,83113,-
244210143157,131323742773,480450,32274,-
278473459238,190887653879,494313,192432,-
4805541421363,4805298421363,506250,240,-
259795096912,73896384735,507727,4602,-
317279554720,229715625111,520205,50958,-
285787728853,151097501435,520529,85381,-
314565143425,72794707128,529258,454047,-
