# primitive nontrivial: X^3 +- Y^3 = A^6 + B^6, X>=Y, A>=B, gcd=1
# k=6  M=1000000  branch=sum
# X,Y,A,B,sign
7708,3441,88,57,+
28596,28105,189,40,+
350428,50145,591,286,+
500137,265008,653,636,+
458812,225681,690,233,+
620785,85656,775,534,+
1233132,296305,1113,238,+
4281564,2105401,2108,651,+
11298652,4382641,3065,2978,+
10350649,8576135,3468,330,+
15007021,1787293,3767,2843,+
41107817,16324018,6438,3711,+
43794949,12076765,6595,3893,+
114189201,54772288,10598,7863,+
153241936,96172857,12757,7500,+
162689977,62571216,12853,5910,+
202828800,67902193,14329,3486,+
224464681,64844376,14669,10836,+
221320537,56120700,14917,588,+
291380761,91549728,17157,512,+
324622201,64277284,18037,5854,+
522281785,12238060,21131,19408,+
385027981,324736909,21203,8791,+
869122116,140491033,29083,19452,+
1379507476,556690177,36838,25855,+
1686009733,103813669,37465,35579,+
1600507749,163007341,38893,29379,+
1417162777,975207458,39033,24876,+
2517617832,2415062449,55756,7239,+
3319639369,2832210504,62442,17347,+
4361632024,2139632265,67282,12195,+
4328542425,4053954256,68891,58680,+
5232192505,124564728,71814,42709,+
5991145512,3654245113,79890,39595,+
7619896790,69724729,80895,73848,+
8222883316,1512986169,83157,78206,+
12811587369,4662160441,109651,88053,+
10520390293,9657537061,112847,17237,+
12053547557,11073660571,120720,49122,+
14540666557,6107042629,121129,72361,+
15613662913,845151057,124717,59379,+
25089430195,21348592973,157464,147456,+
29195232369,4928560744,170823,73478,+
25725965952,22127643241,173965,72222,+
33926570532,8213132593,184455,77570,+
33243960180,21646460353,189889,34116,+
42143043489,25183501732,211706,96081,+
46145651017,27467661132,221731,72750,+
51602090145,21148797208,224399,163614,+
43279175977,37597783801,226175,83887,+
52112296828,14000042361,229013,7068,+
60090435421,3705570229,233297,195479,+
57638053489,3717774636,240090,14375,+
58797629524,15146357305,243157,62050,+
75476468953,21926763854,275841,33900,+
76854627145,41079122620,283256,137533,+
85986627551,31112716321,290304,201684,+
82035149737,42310523712,292610,72531,+
88923661345,37831768380,301617,128044,+
107876236225,60008673218,328581,244374,+
120933560365,29520339205,348593,11801,+
120958867576,35842805593,349268,88613,+
162573872385,89756354452,413793,53012,+
171823194937,71051150508,417131,233862,+
153333231388,149124792457,433012,262819,+
200939528617,124279731060,463347,227138,+
173661655288,170005516801,465313,94502,+
206246771004,152424884641,480548,20721,+
205675252897,188705233473,497541,251107,+
261950701177,181695086673,536943,142451,+
318068562256,29840491977,563805,209668,+
322878097084,162221510985,579645,50672,+
316415877369,243079889353,596211,322565,+
380382507950,100607912185,618552,190161,+
391686121492,68385034617,625524,282325,+
426892094169,17083408084,648293,390798,+
423205621045,389033312893,656351,616169,+
434766431152,213140926905,671723,10608,+
452063402221,239114356021,688001,15521,+
484967413345,124634862340,698351,104632,+
579338835502,197278042145,701862,659907,+
541437447769,86011140097,711761,555371,+
541324532305,156715069032,723113,518838,+
658777925212,229834199361,748038,705055,+
676333630826,210869003881,826479,187404,+
707701542249,121484922196,841322,342381,+
619524064065,575222677744,868088,235425,+
645536330973,554645015317,871597,326349,+
774716911054,82595361881,880353,157026,+
824571041848,180266727097,906338,479819,+
817716417505,597665068900,955162,309391,+
