# X^3 + Y^3 = C^6 + D^6
# primitive nontrivial, X>=Y>0, C>=D>0, gcd=1
# sum branch, C,D <= 5*10^5, S <= 2^{2/3} M^2
# n=69
X,Y,C,D
7708,3441,88,57
28596,28105,189,40
350428,50145,591,286
458812,225681,690,233
620785,85656,775,534
500137,265008,653,636
1233132,296305,1113,238
4281564,2105401,2108,651
11298652,4382641,3065,2978
15007021,1787293,3767,2843
10350649,8576135,3468,330
43794949,12076765,6595,3893
41107817,16324018,6438,3711
114189201,54772288,10598,7863
162689977,62571216,12853,5910
153241936,96172857,12757,7500
202828800,67902193,14329,3486
221320537,56120700,14917,588
224464681,64844376,14669,10836
291380761,91549728,17157,512
324622201,64277284,18037,5854
522281785,12238060,21131,19408
385027981,324736909,21203,8791
869122116,140491033,29083,19452
1600507749,163007341,38893,29379
1686009733,103813669,37465,35579
1379507476,556690177,36838,25855
1417162777,975207458,39033,24876
2517617832,2415062449,55756,7239
5232192505,124564728,71814,42709
3319639369,2832210504,62442,17347
4361632024,2139632265,67282,12195
7619896790,69724729,80895,73848
4328542425,4053954256,68891,58680
5991145512,3654245113,79890,39595
8222883316,1512986169,83157,78206
15613662913,845151057,124717,59379
12811587369,4662160441,109651,88053
10520390293,9657537061,112847,17237
14540666557,6107042629,121129,72361
12053547557,11073660571,120720,49122
29195232369,4928560744,170823,73478
33926570532,8213132593,184455,77570
25089430195,21348592973,157464,147456
25725965952,22127643241,173965,72222
33243960180,21646460353,189889,34116
57638053489,3717774636,240090,14375
60090435421,3705570229,233297,195479
52112296828,14000042361,229013,7068
42143043489,25183501732,211706,96081
51602090145,21148797208,224399,163614
46145651017,27467661132,221731,72750
58797629524,15146357305,243157,62050
43279175977,37597783801,226175,83887
75476468953,21926763854,275841,33900
85986627551,31112716321,290304,201684
76854627145,41079122620,283256,137533
82035149737,42310523712,292610,72531
88923661345,37831768380,301617,128044
120933560365,29520339205,348593,11801
120958867576,35842805593,349268,88613
107876236225,60008673218,328581,244374
171823194937,71051150508,417131,233862
162573872385,89756354452,413793,53012
153333231388,149124792457,433012,262819
200939528617,124279731060,463347,227138
173661655288,170005516801,465313,94502
206246771004,152424884641,480548,20721
205675252897,188705233473,497541,251107
